id,question,answer,title
10,Как получить возможность давать прогнозы на РБ? Спорт: Смешанные единоборства (ММА),"<p>Позже в этом году мы запустим пользовательские блоги, в которых сможет давать прогнозы любой наш читатель. Лучшего из них мы возьмем на работу в звездную команду прогнозистов РБ. </p>",Как получить возможность давать прогнозы на РБ?
11,"Вопрос такой: Начал играть на лиге ставок примерно неделю назад. Скажу честно, ставил вилки. И вот, меня заблокировали, потребовали сканы паспорта и тд. Это конечно не проблема, но читал не давно комментарий Романа и там он отметил, что якобы бк в которых указано нейтральное отношение к спекулянтам режут максимумы, но никак не банят счета. Хочется услышать комментарий по этому вопросу.","Суть в том, что проверка документов это не является баном счета, это обычная процедура. Которая не идет вразрез с нейтральным отношением к вилочникам.",Блокировка счета
12,"бк 1хбет уже месяц не может верифицировать данные,хотя фото документов отправлял. запросили видеоконференцию,прошел. и сказали ждите,вывод временно заблокирован до полной верификации данных. идет уже 2-ой месяц. молчят на письма не отвечают. как быть,подскажите!!","Заполните форму жалобы. 1хBet вроде принимает РБ в качестве посредника. Вам должны помочь. Во всяком случае, РБ не рекомендует открывать счета в конторах с оценкой ниже 4. Из личного опыта могу добавить, что в тройках можно подыскать себе более-менее достойного букмекера. Но, если не ошибаюсь, данный букмекер находится и вовсе в двойках, поэтому вам не стоило открывать в 1xBet счет.",задержка выплот
13,Здраствуйте. Почему нет прогнозистов на воллейбол? На мой взгляд удобный для прогнозов вид спорта. Тем более с наибольшими достижениями среди игровых видов спорта в России.,"Пусть игроки проголосуют в ответах. Если будет много желающих, мы найдем такого эксперта. ",Воллейбол.
14,"Всем привет! Знает кто, где Василий Уткин? Меня даже больше интересует, где его прогнозы.","<p>Василий Уткин в одно время давал <a href=""https://bookmaker-ratings.ru/author/vutkin/"">прогнозы</a> на РБ, но потом перестал. </p>",Василий Уткин
15,Почему вы меня заблокировали?,"<p>Блокируют за спам, оскорбления, мат и вводящую в заблуждение информацию. </p>",блокировка
16,"Подскажите надёжную контору со ставками: событие с 2мя исходами по 50% вероятности и хорошим кефом (1,9+). Например- чёт/не чёт в баскетболе, или мб казино или что то ещё, что бы расчёт был быстрым (четверть в баскетболе 10 мин. Ну и что бы БК не могла воздействовать на результат. Благодарю!","<p>Сегодня коэффициентом 1,9 на равне шансы не удивишь. Большинство контор дают такие коэффициенты. Выбирайте конторы в <a href=""https://bookmaker-ratings.ru/bookmakers-homepage/vse-bukmekerskie-kontory/"">рейтинге</a> оцененные на 4 и 5.</p>",Выбор конторы/ставки
17,"Здравствуйте, в какой из контор с оценками 4 и 5 лучше всего представлен волейбол и в какой теннис? Заранее спасибо!","<p>Пожалуй соглашусь с Дмитрием. Bet365 для тенниса лучшая. Но проблема в том что там нет русского языка. Попробуйте конторы <a href=""https://bookmaker-ratings.ru/visit/Parimatchnew"">Париматч</a>, <a href=""https://bookmaker-ratings.ru/visit/winlinebet"">Winline</a> и <a href=""https://bookmaker-ratings.ru/visit/WilliamHill2"">William Hill</a>. </p>",В какой из контор лучше всего представлен волейбол и в какой теннис?
18,"Добрый день. Вот уже два года делаю ставку через б/к Пиннакл. Производил ввод и вывод средств через вебмани без проблем. Однако последнее пополнение решил сделать через банкоматную карточку. Аккаунт был пополнен. Согласно требованию предоставил в спец.службу поддержки скан. версии паспорта и карты. Однако при сканировании номера карты и имя владельца карты были неразборчивы, так как данные на карте со временем стёрлись. Да и карта истекает через три месяца. После пополнения делал ставки и решил вывести определённую сумму на вебмани, так как функция вывода на карту пока в Пинке не доступна. Однако со стороны службы поддержки пришёл отказ на вывод, мотивируя тем, что данные с карты не видны. После этого заново отсканировал карту (данные видны) и перезалил на сайт Пиннакл, согласно требоавниям. Однако всё равно приходит отказ на выод средств. Причина та же самая, не чёткие скан. карты. Я так понимаю у них в базе данных всё ещё хранится не чёткая сканверсия моей карты, может из-за этого приходит отказ. Из-за безвыходности данной ситуации обращаюсь к ВАм с советом, так как переписка со службой поддержки не дала результата.. Заранее благодерен за ответ.","Вам нужно отправить им договор на обслуживание карты, думаю вопрос можно решить таким образом. Должны пойти навстречу. Если никаких документов по карте у вас нет, то их нужно взять в банке.",Вывод денег с Пиннакл.
19,"Добрый день,почему вы считаете что Рубин забьет? Ведь в прошлом туре Рубин в двух играх ни разу не забил Спартаку.",<p>Кто так считает? </p>,Рубин забьет ?
20,"Есть ли такие матчи в линии, может быть в экзотических чемпионатах,где нет ничьи, и на обоих Кэф выше 2.0. Можно ли ставить на обоих? И будет ли это считаться Вилкой? И ставить именно в этой одной конторе? Сразу на двоих соперников?","<p>Илья, должен вас разочаровать, таких чемпионатов и букмекеров не бывает. То что вы описываете не может принести прибыль букмекеру. Соответственно ни один букмекер такой линии не даст. </p>",Про ставки на обеих соперников в одном матче
21,"Здравствуйте! Задача: использовать БК для регулярного вывода/""отмыва"" электронных денежных средств,) Например: вывести на банковскую карту, через БК 50 тыс. руб. Понятно, что БК вряд ли захочет выводить деньги на карту, сразу же после пополнения баланса. Поэтому нужно сыграть, сделать ставку. То есть, поставить 25к(половину) на кф 1,95 в БК №1,и поставить на другое плечо 25к(вторую половину) на кф 1,95 в БК №2. В итоге в той БК в которой ставка прошла, заказать вывод на карту. Но если ставить на плечи с кф 1,95, то будет потеря 2,5% от общей суммы. Поэтому хочу использовать вилки, для того что бы не терять эти 2,5%. Собственно вопросы: 1. Как БК относятся к вилкам от 0% до 1%, могут ли в итоге порезать максы? 2. Могут ли БК отказать в выплате? 3. Какие БК Вы посоветуете для поставленной выше задачи? 4. Как быстро БК переводит деньги на банковскую карту? Спасибо за внимание.","БК в курсе того что могут быть использованы для проведения сомнительных финансовых операций , а потому уже предприняли упреждающие действия и постоянно отслеживают игроков на предмет таких действий. Хотя если бы речь шла о НАСТОЯЩИХ деньгах а не о 50 тыс. руб. в месяц , думаю можно было бы найти БК согласившуюся поучаствовать в ""выгодном дельце""",Букмекеры / Вилки / Вывод на карту
22,"Часто ставил в Бетсити на угловые в матчах РФПЛ, но порезали максимумы. Есть ли БК, где расписываются тоталы на угловые вроде такого? Индивидуальный тотал: УГЛ Зенит: (5.5) Мен 2.2; Бол 1.63; УГЛ Терек: (2.5) Мен 3; Бол 1.37; Индивидуальный тотал: УГЛ Зенит: (6.5) Мен 1.67; Бол 2.12; УГЛ Терек: (3.5) Мен 1.91; Бол 1.83; Индивидуальный тотал: УГЛ Зенит: (7.5) Мен 1.39; Бол 2.9; УГЛ Терек: (4.5) Мен 1.44; Бол 2.65; Нашел пока только Лигу ставок, но там только по 1 тоталу на каждую команду. Неужели нет аналога бетсити?","На Марафоне неплохая роспись на угловые обычно, может быть подойдет вам.",БК с росписью угловых на матчи рфпл?
23,"Добрый день. Закидывал день с помощью MasterCard, списали со счета почти 3 бакса за верификацию. Их вообще вернут обратно? Конечно я лопух, ведь вывести деньги можно только на Visa и банковский счет.",<p>Эти деньги попали на ваш счет в Skrill. Вы с ними можете делать что захотите. </p>,Верификация skrill
24,"Здравствуйте, какие книги о ставках на ваш взгляд будет полезно прочитать игрокам ?","<ol><li>«Одураченные случайностью»/Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets (Нассим Николя Талеб, 2001)</li><li>«Думай медленно… Решай быстро»/<strong>Thinking, Fast and Slow</strong> (Даниэль Канеман, 2011)</li><li> «Сигнал и шум»/The Signal and the Noise: Why Most Predictions Fail – but Some Don’t (Нейт Сильвер, 2012)</li><li>«Уравнение успеха: приобретение мастерства и удачи в бизнесе, спорте и инвестициях»/The Success Equation (Майкл Мобуссин, 2012)</li><li>«Антихрупкость»/Antifragile: Things That Gain from Disorder (Нассим Николя Талеб, 2012)</li><li>«Торгуя базами: Уолл-стрит, азартные игры и бейсбол»/Trading Bases (Джо Пета, 2013)</li><li>«Волшебники рынка. Интервью с топ-трейдерами»/Market Wizards (Джек Швагер, 1989)</li></ol><p>Подробнее об этих книгах можно прочитать <a href=""https://bookmaker-ratings.ru/7-must-read-knig-dlya-igrokov-na-stavkah-i-sportivnyih-prognozistov/"">здесь</a>. </p>",Книги о ставках
25,как долго рассматривается жалоба на бк?,"<p>Срок рассмотрения жалобы почти всегда зависит от представителя конторы. Обычно мы даем месяц на решение проблемы. Если в течение месяца мы не получили ответ, жалоба помещается в проигнорированные.</p><p>Иногда бывают обстоятельства независящие от представителя. Например, при банковских ошибках. Возврат средств может длиться до 45 дней. В таких случаях ориентируемся по ситуации. </p>",жалобы на бк
26,"Могут ли возникнуть проблемы, если я делал ставки с одного IP-адреса, а затем начал ставить с другого в связи с переездом? И вообще опасно ли делать ставки с разных IP-адресов (дом, работа, дача)?","<p>Нет, это абсолютно нормально. </p>",IP - адрес
27,"Имеет ли срок давности уплата и декларирование дохода, полученного от букмекера? Должен ли я уплачивать доход, полученный более 3х лет назад?"," Каждый гражданин РФ ОБЯЗАН платить налог на доход. В случае с букмекерскими конторами, работающими в Интернете, ситуация следующая: все эти БК работают по лицензиям, выданными иностранными государствами. Соответственно, гражданин РФ (физическое лицо), являющийся налоговым резидентом России, получает доход от источника, находящегося за пределами РФ и обязан самостоятельно задекларировать свой доход. ",НДФЛ
28,"здравствуйте,у меня вот такой вопрос,поставил по лайву на теннис на второй сет на победу,сет мой игрок выиграл,деньги в истории ставок стоят как выигрыш,но на счете как был ноль так и остался,матч уже закончился,прошу объяснить причину этого.Карточка №956896421965 проверьте,что за бардак","Вы не в Лиге Ставок делали ставку? У них с этим постоянные проблемы были давно, приходилось контролировать все свои ставки, чтобы не попасть под подобные махинации. Поэтому я от них и ушел. Похоже, до сих пор ничего не поменялось. Во всяком случае, стоит позвонить им по телефону поддержки. В данной конторе это наиболее эффективный и самый быстрый способ разрешения проблем. Должны помочь (мне помогали). Если не помогут, то можете заполнить форму жалобы. Рекомендовал бы вам сменить данного букмекера, если не желаете постоянно связываться с поддержкой по поводу подобных ситуаций (задержек выплат по выигрышам). Тем более, что маржа в Лиге Ставок, мягко говоря, не самая лучшая для игроков.","событие сыграла,но денег нет"
29,"Как рассчитываются ставки (тоталы и гандикапы) на первую половину матча в бейсболе? В разных БК они обозначаются по разному, например в bet365 - после 4,5 иннинга, в WHill - после 5 иннингов, в Pinnacle и SBO - просто 1-ая половина. Да-к как же рассчитываю такие ставки, учитывая что иннингов 9 да ещё могут быть и экстра иннинги?","Вы сами и ответили на свой вопрос. В каждой БК эти ставки считаются по разному, нужно внимательно изучать правила.",Ставки на первую половину матча в бейсболе
30,Для получения бездепозитного бонуса от Winline 500 руб. на матч Спартак - ЦСКА нужно вновь регистрироваться или уже зарегистрированным пользователям также можно получить данный бонус?,"Только вновь зарегистрировавшимся, уточнял.",Бездепозитный бонус от Winline 500 руб. на матч Спартак - ЦСКА
31,"Известно что подавляющее число игроков , это игроки сидящие в минусе. Кому-то удаётся ""плавать"" около нуля и лишь ОЧЕНЬ немногим удаётся быть в хорошем плюсе. Вопрос : Кто эти плюсовые игроки и благодаря чему им удаётся быть в плюсе ?","Удача играет в ставках не последнюю роль. А еще в этом поможет большой банк и маленькие суммы ставок относительно этого банка, когда даже длительные полосы неудач не позволят проиграть существенных сумм. Играть нужно на деньги, которые не жалко потерять.",Кто такие плюсовые игроки и благодаря чему им удаётся быть в плюсе ?
32,"А где можно глянуть диаграммы по Cashflow , желательно Live. Cпасибо",<p>cashflow чего? </p>,Где можно глянуть диаграммы по Cashflow?
33,"Здраствуйте, Паруйр. Вопрос к вам, как основателю сайта и главному здесь. Но сначала хочу поблагодарить вас за замечательную идею, которая нашла свое воплощение в вашем сайте. Как говорится, респект и глубочайший поклон. Помогать игрокам в нелегкой битве с буками, благородная миссия. Теперь вопрос. Второй день листаю сей замечательный сайт. Добрался до ""Школы беттинга"". Чьему перу пренадлежат статьи? Такого количества нестыковок, взаимосключающих параграфов и прочих глупостей на единицу текста давно не встречал. Начиная с безобидных ""Вероятность принято выражать в процентном соотношении."" (вы уж извините, но КЕМ ПРИНЯТО? но это ладно, понятно что процентами пользуются для наглядности) заканчивая переворачиванием основ политики сайта: в главе 3. автор ШБ рекомендует не играть в конторах с маржей больше 5%. Ок. Вильям Хилл, Лига Ставок, Пари Матч, оперируют маржей больше 5%, а это конторы, которые числятся у вас в графе ЛУЧШИЕ. Кому верить? Автору ШБ или вашему рейтингу и рекомендациям? Спасибо","<p>Сайту уже больше 3 лет. Некоторые материалы возможно потеряли актуальность. Вы можете оставить свои комментарии в постах, и их оперативно исправят. </p>",Школа беттинга
34,"Здравствуйте, можно ли так играть? Допустим я вижу, что в середине матча на победу второго дают коэф. 8, хотя мне кажется, что второй не особо отстаёт и в принципе игра равная и я ставлю на второго 100 рублей. А концу матча уже дают на победу первого коэф. 2 (дальше он увеличивался до 21), тогда я делаю ставку на победу первого (с коэф. 2) 100 рублей (для того, чтобы отыграть первую ставку, если она не сыграет). То есть можно ли делать ставки на противоположные исходы в разное время? Посоветуйте, пожалуйста, хорошую онлайн БК, там где есть рублёвый счёт и можно было бы продавать ставку БК.","Это не первый вопрос по данной теме. Я давал подробный ответ на него. Сейчас дам ответ покороче. Да, так можно играть. Вы делаете ставки на свой страх и риск. Оформив П2 с большим коэффициентом, у вас нет гарантий, что ситуация в игре будет складываться по необходимому сценарию, а коэффициент на П1 будет подниматься. Может произойти и так, что коэффициент на П1 будет только падать, и тогда вы не выйдете в плюс. В некоторых конторах есть функция Cashed Out, которая позволяет либо выйти в плюс (при увеличении преимущества П2), либо не потерять все деньги по ставке (при постоянном отставании П2) еще до окончания игры. Даже при отсутствии такой функции вы можете делать такие ставки, никаких санкций применено к вам не будет. Это обычные ставки на свой страх и риск. Вот как-то так.",Ставки на противоположные исходы в разное время. И БК.
35,как узнать макс. сумму ставки на событие/,"Я давно не играл в Лиге Ставок. Но в то время, когда играл, чтобы узнать максимум, необходимо было в корзине со ставкой просто курсором навести на надпись Максимум (не нажимать на нее, а именно навести курсором). При таких действиях появлялось уведомление с диапазоном принимаемых денег. Сейчас я проверил. Ничего не изменилось. Так можно узнать минимум и максимум по ставкам.",сумма ставки
36,Здравствуйте!Создала счет 9682413 на марафоне месяц назад 1июля.в этот же день после нескольких моих выигрышей счет порезали.На счету оказалось 57тыс руб.В итоге уже месяц не отдают деньги.Выслала все необходимые документы(около 7шт) так как они запросили.И по сей день каждые 3 дня они пишут мне ждите проверка продолжается!Помогите мне пожалуйста решить вопрос с этим кидаловом!,"<p>Добрый день, Наталья! Кажется вы отправляли отредактированные в фотошопе документы. Мы не можем контору заставить платить в такой ситуации. </p><p>Мы на всякий случай предлагаем игрокам доказать обратное при помощи заверения документов у нотариуса. Но сделать еще одну подделку не получится, потому что нотариуса выбирает контора, и потом справляется у него о заверенных документах. </p>",Стандартна проверка счета
37,"Можно ли утверждать что: Если спортсмен имея кф1 05 проигрывает , то вероятность договорника 50 % и чем менее титулованный спортсмен и менее престижный турнир тем выше вероятность именно такой ситуации а не спортивного поражения ? Если спортсмен ни в ступая ни с кем в сговор ставит (через посредников) на победу соперника понятно что это не является спортивным состязанием , но разве это договорняк , да и похоже доказать в отличии от договорника это невозможно ? Тогда чего стоят кф на мало известных спортсменов на второстепенных турнирах , в частности на теннисе ? Призовое место не светит , да и особо не нужно . Зато бабла рубануть без напряга вполне реально. Для спортсменов которые понимают что не достигнут спортивных вершин отличный способ заработать на безбедную пенсию выходит так ?","<p>Нельзя утверждать, потому что даже спортсмен может случайно проиграть. Другое дело, что с таким коэффициентом, спортсмен должен проигрывать не чаще чем в 5 играх из 100. Если он проигрывает чаще, то это можно считать отклонением. Но опять же, если он начнет проигрывать матчи, где он считается явным фаворитом, то он перестанет таковым быть в последующих. То есть, коэффициент на него будет расти.</p><p>Что касается небольших турниров, то там, на самом деле, чуть ли не каждый второй матч с фиксированным результатом. Поэтому конторы принимают на эти матчи очень мало, а то и вовсе не принимают ставки.  </p>","Можно ли утверждать что: Если спортсмен имея кф1 05 проигрывает , то вероятность договорника 50%?"
38,"Скажите в чем особенность ставок типа "" Система""? Хочу поставить на 4 теннисных матча,стоит ли или лучше всетаки на проверенный и понятный экспресс?","Системы хороши для высоких коэффициентов. Выше двух как минимум. Зачастую игроки удивляются, когда собирают большие системы из коэффициентов 1.1, к примеру система 9 из 10, и не понимают почему они остались в минусе при 9 заходах.<br />
Лично я считаю экспрессы более эффективным оружием в войне против букмекеров :)",Вид Ставок Система
39,"Недавно на сайте РБ вышел видеообзор БК Марафон, в котором эксперты вполне положительно отзывались о компании. При это в рейтинге РБ компания Марафон имеет всего 3 звезды и относится к организациям, в которых ""не рекомендуется открывать счет"". Почему?","Антон, вы это можете прочитать в разделе ""Изменения в рейтинге"", который находится в самом низу сайта. Что касается упомянутого видеообзора. то, на мой взгляд, он был достаточно поверхностным и касался, в основном, удобства пользования данной конторой, но никак не затрагивал более глубинных деталей. ",Оценка БК Марафон
40,"Поставил недавно в конторе ""марафон"" ставку на победу удинезе с коэфф 46.когда игра закончилась(хочу это подчеркнуть)-т.е когда стало известно,что моя ставка выйграла - марафон отменил результат и вернул деньги с этой ставки. да и бог с ним.объяснили,что неправильно дали коэффициент(хотя приняли ставку и до конца матча не оповещали и ничего не отменяли) во время матча страховал на то,что ювентус не проиграет. писал им в суппорт с просьбой пойти на уступки ,но никакой реакции.в сообществе официальном в ""vk.com"" заблокировали после того ,как я написал об этом случае что делать?смириться?и естественно посоветуйте хорошие конторы,которые так не мухлюют.-т.е после того как приняли ставку -после результата отменяют.по сути можно каждую выйгрышную ставку отменять под предлогом неправильного кэфа данного.","Bet 365, пожалуй, лучший букмекер для игры в live среди контор с оценками 5 и 4. Уверен, что там таких прецедентов не произойдет. Не так давно в матче за Суперкубок Европы (Барселона - Севилья) в Bet 365 мне довольно быстро выплатили выигрыш со ставки в 40 долларов на гол Коноплянки с кф 23, оформленной во втором тайме, когда Евгений появился на поле. Попробуйте поиграть в Bet 365. Жалеть не придется.","Подскажите, есть ли шанс добиться справедливости в ситуации,которой я написал в описании?"
