texts	answers	labels
Я хотел бы узнать с какой букмекерской конторой ориентирует коэффициент прогнозист Дмитрий Донской и в какой делать лучше ставки на американский футбол. Заранее спасибо!	прогнозист ориентирует на William Hill, это отображается в прогнозе. Это лучшая букмекерская контора в нашем рейтинге, там же можете ставить на американский футбол. 	303
подскажите пожалуйста надежных букмекеров, у которых есть широкая линия на теннис и лайв ставки на теннис, почти на все турниры и мелкие и крупные.	советую вам БК William Hill. Можете пройтись самому по линиям контор из нашего рейтинга. Мы рекомендуем ставить у букмекеров с оценкой 4 и 5!	304
Хочу через телефон делать ставки Где на сайте у вас можна скачать?	"на сайте Бетсити в верхнем углу есть кнопка """"""""""""""""Приложения Бетсити"""""""""""""""". Нажмите её и Вы увидите программу для своей платформы. "	299
В какой бк лучше делать ставки?	Мы рекомендуем ставить у букмекеров с оценкой 4 и 5!	165
"Не могу войти на аккаунт причина: ""Нельзя делать ставки и пополнять баланс"". Как решить эту проблему?"	Возможно, БК заблокировала Ваш счет в связи с нарушением правил. Посмотрите, не приходило ли Вам письмо от БК на личную почту. Также можно обратится в службу поддержки для разъяснения ситуации.	78
как узнать какой максимум ставки на фавбет ?	Вводите большую сумму например, 999999999$ и покажется максимальная сумма ставки.	74
Почему понизили максимумы на сумму ставки? Что с этим можно сделать?	Порезка счетов (или снижение максимумов) – одна из разновидностей ограничений счета, применяемых в фундаментальных букмекерских конторах к профессиональным игрокам. Суть этого ограничения заключается в том, что букмекер уменьшает игроку максимально возможную сумму ставки на определенные события или для счета в целом, вплоть до нескольких долларов США, что делает профессиональную игру в БК невозможной.Порезка счетов, или снижение лимита ставок, практикуется фундаментальными букмекерскими конторами на счетах игроков-вилочников и прочих спекулирующих на линиях контор игроков. Сумма ставок, выигрыши или проигрыши не влияют на решение трейдера снизить максимум на том или ином счету. Режут счета из-за стиля ставок, а не их количества или суммы выигрышей. Если не ставить на «вилки», «коридоры» и «валуи», шансы быть порезанным ничтожны. 	215
"В квартире проживаю со своим братом. Оба делаем ставки на Марафоне. Естественно общий интернет. Не посчитают ли меня ""мультом"" и не закроют ли счета????"	Если вы выходите с одного компа с двух разных акков ,то естественно вас заподозрят в мультиакках и закроют счета.	125
Не могу поставить ни одной ставки, т.к. порезаны максимумы....даже тупо беру любой попавшийся прогноз с кэф 34 и то там максимально возможная сумма ставки 1 р.	БК не хочет с вами играть, смените контору. 	46
Этот прогноз не был допущен на трибуну, но ведь это не должно влиять на учёт ставки. Тем более она была помечена как выигрышная.	Прогнозы, которые не попали на Трибуну, не учитываются. Поэтому на статистику они не влияют. 	234
В последнее время долго рассматриваются ставки модераторами и долго рассчитываются так долго будет? Просто надеюсь на ваше понимание :)	Прогнозы обрабатываются в порядке очереди. И все зависит от загруженности сотрудника, который занимается проверкой прогнозов. Необходимо ожидать.	233
как пополнить счет и как делать ставки?	Прежде всего, Вам нужно зарегистрироваться в букмекерской конторе, которая Вам приглянулась или подходит по стилю игры. Далее необходимо выбрать метод оплаты. Как правило, игроки используют банковские карты и платежные системы (по типу вебмани). После того как счет пополнен, Вы можете выбирать интересующие Вас события, анализировать коэффициенты и делать ставки. Если Вас интересует технический момент, как делать эти самые ставки, укажите конкретную БК. Однако, я думаю, Вы сможете разобраться самостоятельно, ведь практически все современные конторы имеют интуитивно понятный интерфейс. 	220
Подскажите, в каких бк есть ставки на Индивидуальный тотал по периодам(хоккей)? Знаю только betcity и вот недавно еще узнал о олимпе. Есть еще альтернативы какие?	 Посмотрите линию William Hill.     	29
Подскажите пожалуйста как букмекерские конторы должны идентифицировать возраст при регистрации аккаунта? Моя несовершеннолетняч дочь зарегистрировалась по моим паспортным данным в 1xbet и неднократно делала ставки.	Обычно верификация проводится при первом выводе средств. Могут запросить фото паспорта, фото с паспортом в руках, банковскую выписку. Могут позвонить и по телефону задавать вопросы, некоторые конторы даже просят пройти видеоконференцию по скайпу.  	187
Добрый день,подскажите я дома регистрировался на пк с помощью интернета USB модема, и если я вставляю симку в телефон и буду с него делать ставки не посчитают как мультаккаунт и не забанят?спасибо.	"Маловероятно.   Если Вы не подключали услугу """"Выделенный IP"""" (Белый IP) на тарифе, то при каждой сессии (переподключении к сети интернет) у Вас разный IP. Плюс ко всему Вы планируете продолжать использовать ту же самую SIM карту в смартфоне. Но на всякий случай рекомендую уточнить у сотрудников поддержки интересующей Вас БК."	160
Все мои предыдущие ставки рассчитаны, но статистика отображается не корректно. Думаю, что там ошибка, ведь она (статистика) должна пересчитываться автоматически. Проверьте, пожалуйста.	Есть некоторая задержка в обновлении информации в статистике.	133
Вчера в лайве поставил победу Спартака при счете 0-1 в пользу Амкара, кф-27. Сделали возврат пишут: Ваши ставки рассчитаны с коэффициентом 1 , так как были поставлены на известный исход .	Заполните форму жалобы, пожалуйста.	139
Две ставки не допустили на трибуну, загружал с картинками, что ещё не так делаю?)	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
в рубрике трибуна выкладывая свои прогнозы,они как то в зачет идут?или так для кучи?	"Если Ваш прогноз попадает на главную страницу """"""""Трибуны"""""""", то он идет в зачет. Статистику прогнозов вы можете посмотреть в своем профиле."	116
Хотя даже в конкурсе от БК Леон встречаются вполне достойные прогнозы не уступающие уважаемым экспертом сайта.	"На главной странице РБ размещаются только прогнозы экспертов.Для капперских прогнозов есть раздел """"Трибуна"""". "	167
У меня такой вопрос вот я выкладываю своё мнение - свои прогнозы... У меня в профиле - Статистика будет проявляться как у других участников трибуны !?	Все прогнозы, попавшие на на главную страницу Трибуны, учитываются в статистике каппера. 	91
Как мне выкладывать свои прогнозы? Я каппер занимаюсь давно	"Зайдите в свой профиль и нажмите на ссылку """"Дать прогноз"""". "	138
Можно ли, как можно быстрее, рассчитать мои прогнозы за прошлый вечер?	Ставки рассчитываются вручную в порядке очереди. Иногда возможны задержки, однако зачастую прогноз приводят в порядок в течении суток после окончания матча.	261
почему мои прогнозы удаляют?	"Причина удаления прогноза -  копирование прогноза с других ресурсов. Это запрещено правилами оформления прогнозов на """"Рейтинге Букмекеров"""". "	227
Почему не рассчитали прогнозы? Один что не прошел уже рассчитали, а 3 которые прошли не рассчитаны. Когда будет расчет?	Конкретизируйте вопрос. Не совсем понятно, о чем идёт речь. 	156
"Публикую прогноз на матч ""Наполи"" - ""Аталанта"" во второй или третий раз и он почему-то пропадает. Остальные прогнозы публикуются адекватно."	"Причина удаления прогноза -  копирование прогноза с других ресурсов. Это запрещено правилами оформления прогнозов на """"Рейтинге Букмекеров"""". "	227
Как попасть в рейтинг букмеккеров? Чтобы прогнозы публиковали на главной странице	"На главной странице РБ размещаются только прогнозы экспертов.Для капперских прогнозов есть раздел """"Трибуна"""". "	167
Почему со 180% прибыли я вчера был в топе капперов, а сегодня нет? Прогнозы делал от имени Artur Sadykoff на снукер. Спасибо	На данный момент алгоритма подсчета рейтинга еще совершенствуются. Пока в него включаются уже сделанные, но не разыгранные ставки - скоро мы исправим этот недочет.   	168
уже который раз удалили мои прогнозы без объяснения причины, напишите хотя бы что не так делаю, чтобы больше не совершать таких ошибок. Модераторы, к вам вопрос.	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
Подскажите, пожалуйста, в течении какого времени расчитываються прогнозы? Просто мои 2 матча закончились утром , и один в обед, а до сих пор написано - Ожидание. Заранее спасибо.	Ставки рассчитываются вручную в порядке очереди. Иногда возможны задержки, однако зачастую прогноз приводят в порядок в течении суток после окончания матча.	261
Даю прогнозы на РБ , но спустя несколько часов они просто исчезают , и даже если они нормально написаны , то у других то прогнозы остаются , а мои убирают с сайта , что за дискриминация	"Причина удаления прогноза -  копирование прогноза с других ресурсов. Это запрещено правилами оформления прогнозов на """"Рейтинге Букмекеров"""". "	227
Хотелось бы увидеть знаменитых людей,дающих прогнозы на экране(Бышовца).Или это подвох?	В силу занятости не все эксперты РБ могут принимать участие в записи видео-прогнозов. 	68
Пот какой причине мои прогнозы не публикуются на главную страницу трибуны?	"Для того, чтобы Ваш прогноз претендовал на попадание на главную страницу """"""""""""""""Трибуны"""""""""""""""", он должен быть размещен не позднее, чем за 2 часа до события."	111
"Выложил прогноз, но не вижу его в разделе ""прогнозы"", прочитал, что нужно пройти модерацию, но как это сделать?"	"Ищите прогнозы не в разделе «прогнозы», а в разделе « капперы """".Чтобы ваши прогнозы попадали на трибуну капперов, пользуйтесь  рекомендациями по написанию прогнозов . "	148
Добрый вечер, мой прогноз не попал на главную страницу трибуны по не понятным мне причинам.Может быть, он совпадает с прогнозом кого-либо, но я не могу каждый раз проверять все прогнозы на матч, дабы избежать копипаста.	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
подскажите, сколько процентов идет на ставку? по какому принципу высчитывается прибыль в конце месяца у экспертов, а так же у обычных участников,которые выкладывают свои прогнозы?	Доброй ночи!   Прибыль экспертов подсчитывается следующим образом:   Условная сумма каждой ставки – 10$  Средний коэф. выигранных ставок = (Коэф. выигранной ставки #1 + Коэф. выигранной ставки #2 +… Коэф. выигранной ставки N) / Кол-во выигранных ставок  Прибыль/Убыток (в $) = (Кол-во выигранных ставок X 10$ X Средний коэф. выигранных ставок + Кол-во возвратов x 10$) – Общее кол-во ставок x 10$  С недавних пор по такому же принципу подсчитывается и прибыль капперов в Трибуне.	114
Добрый день. Подписался на каппера Никита Емельянов, но не могу посмотреть его прогнозы на сегодня и завтра. На почту также ничего не приходит. Объясните пожалуйста, что я сделал не так. (первый день на сайте)	 Обратитесь к капперу. 	25
На эл.почту не приходят прогнозы	Скорее всего вы не подтвердили свою почту. Вам должно были прислать письмо с подтверждением почты и только после подтверждения будут приходить прогнозы. 	256
Спустя час после публикации прогноз был удалён	"Причина удаления прогноза -  копирование прогноза с других ресурсов. Это запрещено правилами оформления прогнозов на """"Рейтинге Букмекеров"""". "	227
"Добрый день. Сегодня был по непонятной мне причине удалён прогноз ""Лестер""-""Челси"". Прогноз Дмитрия Юркина. Висел весь день, было 400 просмотров. Все названия команд в кавычках, написано грамотно и со знаками. Прошу объяснить с чем связано удаление."	"Причина удаления прогноза -  копирование прогноза с других ресурсов. Это запрещено правилами оформления прогнозов на """"Рейтинге Букмекеров"""". "	227
Не обновляется статистика прогнозов в профиле, прогноз отклоненный после рассмотрения, второй день висит в рассмотрении. В статистике, в списке висит самый первый прогноз, со статусом ожидания, почему так?	Были небольшие технические неполадки. Спасибо, что обратили внимание. Сейчас все работает.  	53
Добрый день! Хотелось бы понять, почему не попадает последний мой прогноз и будет ли он рассчитан для конкурса.	У Вас было неважное фото (круглый логотип, который обрезался), поэтому изначально я хотел запросить у Вас другое, потом передумал и поставил сам, чтобы сэкономить Вам и себе время, но забыл отметить галочку для прохода на Трибуну. Как-то так. Теперь пропустил.   Что касается того, был бы прогноз рассчитан, то да - все прогнозы, которые не удалены, участвуют в конкурсе. Удачи! 	267
Добрый день, не могли бы указать на мои ошибки, что я не так сделал? Мой прогноз не попал на трибуну. Чтоб я в дальнейшим исправился и не делал прежних ошибок.  	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
Что за бред ??? какой день уже в подряд удаляют прогноз без обяснение , причем быстро. Где справедливость , или это палки в колеса ? Админы вообще в адеквате ?	"Причина удаления прогноза -  копирование прогноза с других ресурсов. Это запрещено правилами оформления прогнозов на """"Рейтинге Букмекеров"""". "	227
"Не расчитывается прогноз не попавший на ""Трибуну"""	Мы рассчитываем все конкурсные прогнозы, независимо от того попали они на главную Трибуны или нет. В зачет конкурса материалы, которые не попали на главную, идут, в общую статистику каппера - нет. 	164
Здраствуйте,опубликовал прогноз,а что нужно сделать что бы он попал в каперскую трибуну?	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
Прогноз не прошёл модерацию.На просьбу пояснить ответить нужным не считают.	 На почту присылается ответ о том, почему прогноз не прошел модерацию. Обычные причины — низкий уровень грамотности описания текста прогноза, опоздание по срокам, отсутствие аргументации.  	21
Мой прогноз на Колос(Ковалевка) - Днепр(Черкассы) Первая Лига был удален. Хотел бы узнать в чем проблема и в связи с чем это было сделано.	По линии Бк Вильям Хилл ставки Х2 нет. Вы использовали кеф одной конторы и потом просто выставили БК Вильям Хилл. Вы как участник конкурса не имеет права использовать кефы других контор. Такие прогнозы удаляются.	205
Ман Сити - Саутгемптон прогноз не засчитан почему?	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
Почему мой прогноз удален ?	При всем уважении, это сложно назвать прогнозом. Следуйте правилам и ничего удаляться не будет  . Если нет, то извините. Выбор за Вами. 	221
Скажите.А почему мой прогноз Манчестер Юнайтед- Суонси не выставили на трибуну?Спасибо	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
Здравствуйте вчера удалили прогноз на МЮ без объяснения два раза, как понять? А прогноз прошел	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
Мой первый прогноз на матч Аргентина-Чили не прошел проверку, в связи ряда ошибок. Я делал несколько раз новый прогноз с учетом ошибок указанные модератором, но он в течение минуты пропадал.	"Причина удаления прогноза -  копирование прогноза с других ресурсов. Это запрещено правилами оформления прогнозов на """"Рейтинге Букмекеров"""". "	227
Мой прогноз не опубликовали на Трибуну, как можно узнать, почему? и можно ли отредактировать, чтобы прогноз пропустили на трибуну?  	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"""""Знания/Полезные статьи"""""""".Удачи!"	202
Снова не допустили прогноз на трибуну, хочется уже узнать что не так в этот раз.	"Для того, чтобы Ваш прогноз претендовал на попадание на главную страницу """"""""""""""""Трибуны"""""""""""""""", он должен быть размещен не позднее, чем за 2 часа до события."	111
